civi_handling_unit,cstb_column,citm_name1,csts_name,civi_entry_date,civi_primary_qty_reserved,civi_primary_qty,civi_secondary_uom_code,csbt_name,civi_storagebin_code,citm_code2,citm_code1,civi_organization_id,civi_primary_qty_available,civi_secondary_qty,civi_stock_type_code,civi_id,cstt_name,cstb_line,cstb_level,civi_expiration_date,citm_packaging,civi_onset_date,civi_warehouse_code,civi_batch_number,civi_primary_uom_code,metadata_fecha_consulta
180658,2.0,MANIJA CILINDRICA ALCOBA NEGRA KL 903 A,HERRAJES,2025-08-12,0.0,5.0,,Large Shelf,F4M2A40DER,,10032927,98,5.0,,01,905356,Estantería pesada,4,40.0,,,,1290,,Und,2025-09-06 23:29:24
193524,3.0,LAVAPL PRIME 54X44CM + CANASTILLA Y REJILLA,SIKAS PEGANTES,2025-08-12,0.0,2.0,,Large Shelf,F12M3A30IZQ,,10028026,98,2.0,,01,905746,Montacargas,12,30.0,,,,1145,,Und,2025-09-06 23:29:24
180165,8.0,MDF QD 1.83X2.44X2.5 mm,MADERAS VERTICALES,2025-06-15,0.0,1.0,,Large Shelf,F5M8.5A10,,10033148,98,1.0,,09,905753,Piso,5,10.0,,,,1290,,Lámina,2025-09-06 23:29:24
193525,4.0,MESON FLUENS 150X52 LISO IZQUIERDO MONOCONTROL Ref: 240052,SIKAS PEGANTES,2025-08-12,0.0,3.0,,Large Shelf,F12M4A30IZQ,,10026476,98,3.0,,01,905755,Montacargas,12,30.0,,,,1145,,Und,2025-09-06 23:29:24
193525,4.0,MESON FLUENS 150x52 LISO DERECHO MONOCONTROL Ref: 240051,SIKAS PEGANTES,2025-08-12,0.0,3.0,,Large Shelf,F12M4A30IZQ,,10026475,98,3.0,,01,905757,Montacargas,12,30.0,,,,1145,,Und,2025-09-06 23:29:24
193524,3.0,MESON VITAL BASIC 100X52 IZQUIERDO MONOCONTROL REF: 237805,SIKAS PEGANTES,2025-08-12,0.0,2.0,,Large Shelf,F12M3A30IZQ,,10024415,98,2.0,,01,905745,Montacargas,12,30.0,,,,1145,,Und,2025-09-06 23:29:24
180160,8.0,MELAMINICO SUPERCOR PB RH AMARETTO TEX RUSTICK 183X244X15,MADERAS VERTICALES,2025-06-20,0.0,0.5,,Large Shelf,F5M8.1A10,,10010560,98,0.5,,01,905773,Piso,5,10.0,,,,1290,,Lámina,2025-09-06 23:29:24
163284,6.0,BRAZO NEUMATICO SPAR CIERRE LENTO 80N,HERRAJES Y ACCESORIOS,2025-09-05,0.0,90.0,,Large Shelf,F22M6A40IZQ,,10022483,98,90.0,,01,938178,Estantería pesada,22,40.0,,,,1145,,Und,2025-09-06 23:29:24
193354,5.0,KORAZA BASE ACCENT 127477 CANECA 5 GALONES,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,5.0,,Large Shelf,F19M5A10IZQ,,10013312,98,5.0,,01,897354,Estantería pesada,19,10.0,2028-07-30,,,1145,,Und,2025-09-06 23:29:24
162319,5.0,CANTO PVC INTRAPLAS OASIS (Freno andino) 19X0.45 MM 240mxRollo,CANTOS Y CUBRECANTOS,2025-08-04,0.0,240.0,,Large Shelf,F20M5A40DER,,10030231,98,240.0,,01,897363,Estantería pesada,20,40.0,,,,1145,,Metro,2025-09-06 23:29:24
162319,5.0,CANTO PVC INTRAPLAS OASIS (Freno andino) 19X0.45 MM 240mxRollo,CANTOS Y CUBRECANTOS,2025-08-04,0.0,960.0,,Large Shelf,F20M5A40DER,,10030231,98,960.0,,01,897364,Estantería pesada,20,40.0,,,,1145,,Metro,2025-09-06 23:29:24
161156,5.0,CANTO PVC INTRAPLAS NEGRO MATE 19X1.5 MM 100mxRollo,CANTOS Y CUBRECANTOS,2025-08-12,0.0,300.0,,Large Shelf,F20M5A10IZQ,,10033570,98,300.0,,01,905781,Estantería pesada,20,10.0,,,,1145,,Metro,2025-09-06 23:29:24
186403,9.0,SACO DE FIBRA 55X80,TEJAS,2025-04-11,0.0,580.0,,Large Shelf,F6M9A10IZQ,,10003062,98,580.0,,01,757948,Montacargas,6,10.0,,,,1145,,Und,2025-09-06 23:29:24
181068,6.0,FORMICA LAMITECH F8 SEA WHITE 1502 ULTRA PORO UP POSTFORMABLE 122X244,FORMICAS,2025-06-19,0.0,1.0,,Large Shelf,F15M6A10,,10016398,98,1.0,,08,905201,Estantería pesada,15,10.0,,,,1290,,Lámina,2025-09-06 23:29:24
181068,6.0,FORMICA LAMITECH F8 SEA WHITE 1502 ULTRA PORO UP POSTFORMABLE 122X244,FORMICAS,2025-07-31,0.0,3.0,,Large Shelf,F15M6A10,,10016398,98,3.0,,08,905202,Estantería pesada,15,10.0,,,,1290,,Lámina,2025-09-06 23:29:24
181157,5.0,FORMICA LAMITECH F8 SEA WHITE 1502 ULTRA PORO UP POSTFORMABLE 122X244,HERRAJES,2025-03-31,0.0,1.0,,Large Shelf,F2M5A80DER,,10016398,98,1.0,,03,905204,Estantería pesada,2,80.0,,,,1290,,Lámina,2025-09-06 23:29:24
181157,5.0,FORMICA LAMITECH F8 SEA WHITE 1502 ULTRA PORO UP POSTFORMABLE 122X244,HERRAJES,2023-11-19,0.0,1.0,,Large Shelf,F2M5A80DER,,10016398,98,1.0,,03,905206,Estantería pesada,2,80.0,,,,1290,,Lámina,2025-09-06 23:29:24
181241,8.0,CANTO PVC INTRAPLAS GRAFFO 22X0.45 MM 240mxRollo,CANTOS,2025-03-29,30.0,155.0,,Large Shelf,F1M8A70DER,,10026783,98,125.0,,01,835638,Estantería pesada,1,70.0,,,,1290,,Metro,2025-09-06 23:29:24
180248,12.0,MDF IMPORTADO TABLEMAC 183X244X04,MADERAS ESTANTERIA,2025-06-20,0.0,3.0,,Large Shelf,F7M12A10,,10008553,98,3.0,,01,905234,Piso,7,10.0,,,,1290,,Lámina,2025-09-06 23:29:24
159461,1.0,CONCOLOR JUNTA ESTRECHA BEIGE 5 KG 903051051,PINTURAS Y MASILLAS,2025-08-04,0.0,26.0,,Large Shelf,F16M1A30IZQ,,10001416,98,26.0,,01,897308,Estantería pesada,16,30.0,2026-07-30,,,1145,,Und,2025-09-06 23:29:24
181202,4.0,CANTO PVC INTRAPLAS SAGANO 19X1.5 MM 100mxRollo,HERRAJES,2025-03-26,0.0,4.0,,Large Shelf,F2M4A60DER,,10026654,98,4.0,,08,905229,Estantería pesada,2,60.0,,,,1290,,Metro,2025-09-06 23:29:24
159527,2.0,ICOLATEX BLANCO 2024155 GALON,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,2.0,,Large Shelf,F19M2A40DER,,10007080,98,2.0,,01,897335,Estantería pesada,19,40.0,2028-07-30,,,1145,,Und,2025-09-06 23:29:24
159528,2.0,AEROSOLES AEROCOLOR MULTISUPERFICIE ROJO OSCURO BRILLANTE 300 ML,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,1.0,,Large Shelf,F19M2A30DER,,10030534,98,1.0,,01,897325,Estantería pesada,19,30.0,2027-12-30,,,1145,,Und,2025-09-06 23:29:24
159543,2.0,BARNIZ MATE DE USO INTERIOR INCOLORO 559 GALON,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,6.0,,Large Shelf,F18M2A20IZQ,,10006197,98,6.0,,01,897332,Estantería pesada,18,20.0,2026-07-30,,,1145,,Und,2025-09-06 23:29:24
159527,2.0,AEROSOLES AEROCOLOR MULTISUPERFICIE GRIS BRILLANTE 300 ML,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,2.0,,Large Shelf,F19M2A40DER,,10030529,98,2.0,,01,897328,Estantería pesada,19,40.0,2028-03-30,,,1145,,Und,2025-09-06 23:29:24
193556,6.0,VINILO TIPO 3 CONSTRUCTOR 17600 CANECA 5 GL,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,5.0,,Large Shelf,F19M6A10DER,,10007043,98,5.0,,01,897338,Estantería pesada,19,10.0,2028-06-30,,,1145,,Und,2025-09-06 23:29:24
193557,3.0,VINILO TIPO 1 CONSTRUCTOR PINTUCO 1699 CAN 5GLNS 10359134,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,5.0,,Large Shelf,F19M3A10DER,,10007464,98,5.0,,01,897339,Estantería pesada,19,10.0,2028-07-30,,,1145,,Und,2025-09-06 23:29:24
159579,2.0,PINTURA PARA CANCHAS BASE NEUTRA (ACCENT) GALON,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,6.0,,Large Shelf,F19M2A20IZQ,,10021353,98,6.0,,01,897356,Estantería pesada,19,20.0,2028-07-30,,,1145,,Und,2025-09-06 23:29:24
193553,3.0,VINILO TIPO 1 CONSTRUCTOR PINTUCO 1699 CAN 5GLNS 10359134,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-07-17,0.0,2.0,,Large Shelf,F19M3A10DER,,10007464,98,2.0,,01,897344,Estantería pesada,19,10.0,2028-06-30,,,1145,,Und,2025-09-06 23:29:24
193553,3.0,VINILO TIPO 1 CONSTRUCTOR PINTUCO 1699 CAN 5GLNS 10359134,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-07-17,0.0,1.0,,Large Shelf,F19M3A10DER,,10007464,98,1.0,,01,897345,Estantería pesada,19,10.0,2028-06-30,,,1145,,Und,2025-09-06 23:29:24
159534,1.0,KIT PINTURA EPOXI POLIAMIDA BLANCA 113243101 Y CAT 213229104,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,8.0,,Large Shelf,F18M1A30DER,,10007178,98,8.0,,01,897346,Estantería pesada,18,30.0,2026-06-30,,,1145,,Und,2025-09-06 23:29:24
193351,3.0,ESTUCO ACRILICO PARA EXTERIOR BLANCO 27060 CANECA 30 KILOS,PINTURAS Y MASILLAS,2025-08-04,0.0,8.0,,Large Shelf,F15M3A70IZQ,,10007051,98,8.0,,01,897359,Montacargas,15,70.0,2026-07-30,,,1145,,Und,2025-09-06 23:29:24
159529,2.0,PINTURA ACRILICA MANTENIMIENTO GRIS 113884 GALON,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,6.0,,Large Shelf,F19M2A40IZQ,,10028280,98,6.0,,01,897352,Estantería pesada,19,40.0,2027-07-30,,,1145,,Und,2025-09-06 23:29:24
193357,3.0,KORAZA PRO® 550 BLANCO 2650 CUÑETE,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,1.0,,Large Shelf,F18M3A10DER,,10007047,98,1.0,,01,897353,Estantería pesada,18,10.0,2028-07-30,,,1145,,Und,2025-09-06 23:29:24
159534,1.0,KIT PINTURA EPOXI POLIAMIDA BLANCA 113243101 Y CAT 213229104,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,6.0,,Large Shelf,F18M1A30DER,,10007178,98,6.0,,01,897347,Estantería pesada,18,30.0,2026-06-30,,,1145,,Und,2025-09-06 23:29:24
533679,2.0,VINILICO BLANCO 2027155 GALON,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,48.0,,Large Shelf,F19M2A10DER,,10007122,98,48.0,,01,897355,Estantería pesada,19,10.0,2028-07-30,,,1145,,Und,2025-09-06 23:29:24
193355,2.0,VINILICO BLANCO ALMENDRA 2027110 CANECA 5 GALONES,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,2.0,,Large Shelf,F18M2A10IZQ,,10007116,98,2.0,,01,897360,Estantería pesada,18,10.0,2028-07-30,,,1145,,Und,2025-09-06 23:29:24
193356,1.0,IMPRIMAX BLANCO 3501 CANECA 5 GALONES 10016016,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,3.0,,Large Shelf,F19M1A10DER,,10007604,98,3.0,,01,897361,Estantería pesada,19,10.0,2028-07-30,,,1145,,Und,2025-09-06 23:29:24
193350,7.0,KORAZA BASE DEEP BLANCO 127476 CANECA 5 GALONES,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,6.0,,Large Shelf,F18M7A10DER,,10013309,98,6.0,,01,897362,Estantería pesada,18,10.0,2028-06-30,,,1145,,Und,2025-09-06 23:29:24
193349,7.0,KORAZA BASE TINT BLANCO 127475 CANECA 5 GALONES,"PINTURAS PINTUCO , MAGICOLOR NOVAFLEX",2025-08-04,0.0,1.0,,Large Shelf,F18M7A10IZQ,,10013311,98,1.0,,01,897365,Estantería pesada,18,10.0,2028-07-30,,,1145,,Und,2025-09-06 23:29:24
