ctsk_task_name,ctti_time_els_value,ctsk_lines,ctsk_current_value,ctsk_waiting_date,ctsk_parking_dock_code,cdct_name,ctsk_id,ctsk_document_id,ctsk_reference,ctsk_complete_date,ctsk_task_description,ctst_name,ctsk_pci,ctsk_organization_id,ctsk_target_value,ctsk_created_on,cwhs_code,ctsk_priority,ctsk_task_user,ctsk_running_date,ctsk_task_state,ctsk_planning_date,metadata_fecha_consulta
515381  -  CALLE 56 DIAGONAL 14 URBANIZACION MACAREGUA BLOQUE C APT 203,00:01:26.324741,1.0,1.0,2025-09-05T15:01:01.16258,,CLIENTE RECOGE,231064,515381,,2025-09-05T15:38:12.157452,,Auditoria Picking,1.0,98,1.0,2025-09-05T15:00:47.003719,1145,Normal,hpinzon,2025-09-05T15:36:45.832711,Complete,2025-09-05T00:00:00,2025-09-05 15:39:43
515387 Canto,,2.0,0.0,2025-09-05T15:07:16.890436,,VENTA PUNTUAL,231061,515389,,,Orden No. 144848,Picking,0.0,98,15.0,2025-09-05T15:00:21.04417,1290,Muy baja,cangel,,Waiting,2025-09-06T00:00:00,2025-09-05 15:39:43
"515381 BUC-CUÑETES, PEGANTES, PINTURAS Y SIKA",00:02:21.515806,1.0,1.0,2025-09-05T15:00:24.128024,,CLIENTE RECOGE,231060,515382,,2025-09-05T15:04:49.330467,Orden No. 893021922,Picking,1.0,98,1.0,2025-09-05T14:59:20.191324,1145,Alta,aanaya,2025-09-05T15:01:48.982654,Complete,2025-09-05T00:00:00,2025-09-05 15:39:43
E515379,,2.0,0.0,2025-09-05T14:57:51.969157,,Orden de Compra,231059,515379,,,,Entrada de almacen,0.0,98,500.0,2025-09-05T14:57:42.057526,1145,Normal,jmartinez,,Waiting,2025-09-06T00:00:00,2025-09-05 15:39:43
E515378,,4.0,0.0,2025-09-05T14:57:15.236296,,Orden de Compra,231058,515378,,,,Entrada de almacen,0.0,98,1050.0,2025-09-05T14:56:59.256304,1145,Normal,jmartinez,,Waiting,2025-09-14T00:00:00,2025-09-05 15:39:43
E515377,,8.0,0.0,2025-09-05T14:56:30.788296,,Orden de Compra,231057,515377,,,,Entrada de almacen,0.0,98,250.0,2025-09-05T14:56:21.046358,1145,Normal,jmartinez,,Waiting,2025-06-06T00:00:00,2025-09-05 15:39:43
E515376,,3.0,0.0,2025-09-05T14:55:50.748249,,Orden de Compra,231056,515376,,,,Entrada de almacen,0.0,98,1000.0,2025-09-05T14:55:40.385617,1145,Normal,jmartinez,,Waiting,2025-09-14T00:00:00,2025-09-05 15:39:43
E515375,,2.0,0.0,2025-09-05T14:55:14.194468,,Orden de Compra,231055,515375,,,,Entrada de almacen,0.0,98,750.0,2025-09-05T14:54:56.176144,1145,Normal,jmartinez,,Waiting,2025-09-14T00:00:00,2025-09-05 15:39:43
E515374,,3.0,0.0,2025-09-05T14:54:30.648683,,Orden de Compra,231054,515374,,,,Entrada de almacen,0.0,98,2250.0,2025-09-05T14:54:02.627578,1145,Normal,jmartinez,,Waiting,2025-09-14T00:00:00,2025-09-05 15:39:43
E515373,,6.0,0.0,2025-09-05T14:53:33.770464,,Orden de Compra,231053,515373,,,,Entrada de almacen,0.0,98,514.0,2025-09-05T14:53:22.790601,1145,Normal,jmartinez,,Waiting,2025-06-24T00:00:00,2025-09-05 15:39:43
