ctsk_task_name,ctti_time_els_value,ctsk_lines,ctsk_current_value,ctsk_waiting_date,ctsk_parking_dock_code,cdct_name,ctsk_id,ctsk_document_id,ctsk_reference,ctsk_complete_date,ctsk_task_description,ctst_name,ctsk_pci,ctsk_organization_id,ctsk_target_value,ctsk_created_on,cwhs_code,ctsk_priority,ctsk_task_user,ctsk_running_date,ctsk_task_state,ctsk_planning_date,metadata_fecha_consulta
515863 Herraje,,5.0,0.0,,,FOCUSS REGIONALES,231222,515865,,,Orden No. 144875,Picking,0.0,98,147.0,2025-09-06T01:32:03.689834,1290,Muy baja,,,Pending,2025-09-07T00:00:00,2025-09-06 01:44:10
515863 Canto,,7.0,0.0,,,FOCUSS REGIONALES,231221,515864,,,Orden No. 144875,Picking,0.0,98,56.0,2025-09-06T01:32:03.689834,1290,Muy baja,,,Pending,2025-09-07T00:00:00,2025-09-06 01:44:10
515857 Herraje,,1.0,0.0,,,FOCUSS PUNTOS DE VENTAS,231217,515858,,,Orden No. 144874,Picking,0.0,98,30.0,2025-09-06T01:31:54.602773,1290,Muy baja,,,Pending,2025-09-07T00:00:00,2025-09-06 01:44:10
"515857 Madera F5,F6,F7 Y F8<A10",,3.0,0.0,,,FOCUSS PUNTOS DE VENTAS,231218,515859,,,Orden No. 144874,Picking,0.0,98,5.0,2025-09-06T01:31:54.602773,1290,Muy baja,,,Pending,2025-09-07T00:00:00,2025-09-06 01:44:10
"515857 Madera F5,F6,F7 Y F8",,1.0,0.0,,,FOCUSS PUNTOS DE VENTAS,231219,515860,,,Orden No. 144874,Picking,0.0,98,1.0,2025-09-06T01:31:54.602773,1290,Muy baja,,,Pending,2025-09-07T00:00:00,2025-09-06 01:44:10
515857 Madera Torres,,1.0,0.0,,,FOCUSS PUNTOS DE VENTAS,231220,515861,,,Orden No. 144874,Picking,0.0,98,1.0,2025-09-06T01:31:54.602773,1290,Muy baja,,,Pending,2025-09-07T00:00:00,2025-09-06 01:44:10
515851 Herraje,,6.0,0.0,,,FOCUSS PUNTOS DE VENTAS,231214,515853,,,Orden No. 144873,Picking,0.0,98,52.0,2025-09-06T01:31:41.552433,1290,Muy baja,,,Pending,2025-09-07T00:00:00,2025-09-06 01:44:10
515851 Madera Torres,,2.0,0.0,,,FOCUSS PUNTOS DE VENTAS,231216,515855,,,Orden No. 144873,Picking,0.0,98,3.0,2025-09-06T01:31:41.552433,1290,Muy baja,,,Pending,2025-09-07T00:00:00,2025-09-06 01:44:10
"515851 Madera F5,F6,F7 Y F8<A10",,1.0,0.0,,,FOCUSS PUNTOS DE VENTAS,231215,515854,,,Orden No. 144873,Picking,0.0,98,1.0,2025-09-06T01:31:41.552433,1290,Muy baja,,,Pending,2025-09-07T00:00:00,2025-09-06 01:44:10
515851 Canto,,5.0,0.0,,,FOCUSS PUNTOS DE VENTAS,231213,515852,,,Orden No. 144873,Picking,0.0,98,85.0,2025-09-06T01:31:41.552433,1290,Muy baja,,,Pending,2025-09-07T00:00:00,2025-09-06 01:44:10
